,time,title,review,comment
22,2021.11.19. 17:02,드디어 금요일이네요!,"이번주 왜이리 긴지 ㅋㅋㅋㅋ
다들 저녁에 뭐하시나요?",[]
23,2021.11.03. 23:07,주말 결혼식 있는데 ㅜㅜ,"주말에 결혼식이 있어서 입을옷 골라보는데 옷은 많은데 입을 옷이 없어요~~~
차려입고 가야한다는거.... 신경쓰이고 너무 어려워요~~ㅠㅠㅠ","[['셋업에 더비나 로퍼만 신어줘도 깔끔!'], ['깔끔하게 가시죠!!'], ['정말 입을게 없으시면 그냥 검은색으로만 맞춰 입으셔도 될 것 같습니다!'], ['진짜 결혼식 갈때는 화이트 계열만 피해주시면 될 것 같아요!'], ['블랙으로 깔끔하게 입고 가면 될 거예요 ㅎㅎ']]"
24,2021.11.02. 12:55,빵에 빠진 저는 오늘도..빵을 먹습니다 ㅋㅋㅋ,"빵 끊고 싶어도...너무 맛나서 
끊기가 힘드네요 ㅠㅠ 
그래서 밀가루보다는 쌀빵으로 
먹을까 했는데...밀가루 빵 
넘 맛나요....!!!!!!
벗어날 수가 없네요 ㅠㅠ ","[['밀가루 넘 맛있죠,,'], ['빵계속먹다간... 빵빵해져버렷'], ['크로와상 쵝오..']]"
25,2021.11.01. 16:16,모더나 2차 내일 맞아요,"백신 모더나로 1차 맞고 괜찮았는데 2차는 너무 떨리네요
모더나 맞은 지인들 다들 2차가 더 아팠고 고생했다는 말들으니 걱정도 많고... 
주사맞고 아프기전에 다들 약챙겨먹 으라고해서 먹으려고요 ㅠ
당장 내일인데 제가 주사를 2차까지 맞긴 다 맞네요 * 착용사진 
* 착용코디 
아우터 - 
상의 - 
하의 - 
신발 - 
키/몸무게(선택) - 
★컨텐츠&마케팅 자료로 사용 될 수 있습니다★","[['저도 내일 10시..ㅠㅠㅠ'], ['모드나인으로봤네요...'], ['2차 잘 넘기셨나요..']]"
26,2021.10.31. 23:51,고민하다 결국 샀네요..ㅋㅋㅋㅋ,"2년 전에 S 로우로 샀는데 밑위 긴 노말로 샀습니다ㅋㅋㅋㅋ
가을 꾸안꾸 코디 준비 완료🔥🔥","[['스웨트 팬츠 입을거 없을 때 개꿀템이더라구요!! 예쁜 착샷 기대하겠습니다'], ['꿀이죠ㅎㅎ 기대해주세요🔥🔥'], ['제로 팬츠 좋아요 ㅋㅋ']]"
27,2021.10.31. 23:32,주말이 끝나면서..,"10월도 끝이군요 고생 많으셨고 11월도 월요일도 화이팅입니다🔥🔥
(열심히 돈 벌어서 사고 싶은 거 사야겠어요!!)","[['10월도 고생많으셨습니다 ㅎ_ㅎ 11월은 더 좋은 일만 있으시길 바라겠습니다'], ['오덩이님도 11월 화이팅입니다🔥🔥']]"
28,2021.10.31. 22:27,귀여운 냥이 보고 왔어요🐱," 재밌는 서점에 들렸다가 요 친구들을 만났어요
둘이 이렇게 사이가 친한 고양이는 첨 보네요!
너무 귀엽지 않나요😍","[['우아 냥냥이 넘 귀여워요ㅋㅋㅋㅋㅋ'], ['심장 힘들었습니다ㅋㅋㅋㅋ'], ['어머 ㅋㅋㅋㅋㅋ 인형같아요 진짜 ㅠㅠ 어쩜 저렇게 귀엽게 누워있을까요 ㅠㅠㅠ'], ['형제라고 하네요 너무 귀여워요ㅠㅠ']]"
29,2021.10.31. 21:04,드디어 시작하네요!,Lck파이팅 젠지 파이팅!,[]
30,2021.10.31. 20:46,모더나 2치맞으신분 계신가요?,"모레 맞아야되는데 아프다는 사람들이 많은거같네요..
약복용은 어떻게하고 통증같은건 언제쯤오는지..",[]
31,2021.10.31. 20:36,주말 마무리 잘하세요!,"치느님과 함께 월요일을 맞이해야겠네요
다들 다음주도 파이팅!","[['담주도 홧팅입니다'], ['월요팅!'], ['11월도 화이팅하세요!'], ['파이팅입니다!']]"
32,2021.10.31. 19:25,어느새 저녁 먹을 시간,"저녁은 김치볶음밥에 냉동돈까스!
주말까지 4시간 남았으니 충분히 쉬어야겠네요ㅎㅎ","[['오.. 직접하신건가요?'], ['네 있는 재료 다 때려넣은 제 작품입니다ㅋㅋㅋㅋㅋ'], ['김치볶음밥 최고져'], ['이 만한 요리 없죠ㅎㅎ']]"
33,2021.10.31. 18:00,오늘저녁뭐?,"해산물은 언제나 환영입니다ㅏㅏ
장어 구이 너무 맛있네요ㅎㅎ","[['아 맛있겟다…'], ['존맛!!'], ['크 장어라니.. 힘 엄청 날 거 같아요!'], ['힘 와장장!!']]"
34,2021.10.31. 17:28,오저뭐,"어제음주의 숙취가 아직도 가시질않네요..
저는 해장할때 치킨이나 햄버거로합니다😆
다들 해장 어떻게하시나여?
치킨은 교촌치킨
청바지는 모드나인","[['해장엔 국밥이죠! (개인적으론 콩나물국밥ㅎㅎ)'], ['시원한 콩나물국밥 좋죠!']]"
35,2021.10.31. 16:51,"사실상 3,4위전","다들 본방사수하시죠!
사실상 3,4위전 어짜피 우승은 담원","[['ㅋㅋㅋㅋㅋㅋ그쳐'], ['어우담 어우담'], ['시간없어서 롤드컵 하나도 안 봤는데 끝나고 정주행 해야겠어요ㅋㅋㅋㅋㅋ'], ['티원 담원 꼭보세요.. 미쳤어요']]"
36,2021.10.31. 16:49,오늘 할로윈데이네요?,"존잘 인싸분들은 다들 할로윈 즐기러 가셨겠네요..
치킨이나 시켜서 롤드컵이나봐야겠어요
해피할로윈!🎃","[['ㄷㄷ'], ['🤣'], ['집에박혀있는뎅 ㅠ'], ['저도 아싸라 박혀있네요😭'], ['할로윈이구나'], ['해피할로윈'], ['어제 홍대에서도 할로윈이랑 오징어 게임 분장 봤습니다ㅋㅋㅋㅋㅋ'], ['아 물론 아싸라 지금 집이에요ㅎㅎ'], ['ㅋㅋㅋㅋㅋㅋ오징어게임 체육복 진짜 많을거같아여']]"
37,2021.10.31. 12:28,이 노래 아시나요?,"10월의 마지막밤..ㅋㅋㅋㅋㅋㅋㅋ
출근했는데 영감님들 다 이 노래 얘기하시네요","[['첨 듣네용'], ['저도 첨듣는데 아재들한테 인기많네요..ㅋㅋㅋㅋ']]"
38,2021.10.31. 12:24,공범 완결났네요,처음엔 지루해서 참고봤는데 갈수록 너무 재밌고 마지막 반전은 진짜 대박이네요..,"[['와우 재밌나영?'], ['꼭보십쇼👍'], ['네넵!!'], ['맞아요 갈수록 재밌었어요 ㅋㅋ']]"
39,2021.10.31. 11:30,어제 홍대 갔다오고 느낀 점,"세상에 멋진 분들 참 많네요 깔끔하게 코디하신 분들, 감성 있게 코디하신 분들, 본인만의 개성있는 멋진 코디하신 분들 등 많았는데 특히 조던이나 덩크, 워커 멋게 코디하신 여성분들이 지나갔을 땐 정말 멋있다고 느꼈습니다. 기회 된다면 다시 홍대 가고 싶네요ㅎㅎ (다음엔 더 현대서울 방문 예정!!)","[['역시 패션의거리..'], ['멋쟁이분들 넘쳐나더라고요!'], ['패피의 거리…'], ['멋진 분들 한 가득..!!'], ['패피 ㄷㄷ'], ['저는 아니였지만요..ㅎㅎ']]"
40,2021.10.31. 10:12,"여러분들은 어떤 취미 있으신가요? (패션,쇼핑 제외)",2년 전에 기타 친다고 사고 잘 안 했는데 오랜만에 꺼내봐서ㅎㅎ 여러분들은 패션 제외하고 즐겨하거나 좋아하는 취미 있으신가요?,"[['학교댕길때 기타마니만졌는데 그립네여.. 베이스치시나봐여'], ['배운 지 좀 오래됬는데 가물가물합니다..ㅋㅋㅋㅋ'], ['베이스 크.. 멋지십니다👍'], ['기타보다 유니크해서 좋아요!'], ['등산이유'], ['오오 등산 멋집니다!'], ['음악입니당'], ['음악 취미이신분들 멋있어요😍😍'], ['게임요'], ['게임도 즐거운 취미죠!']]"
41,2021.10.31. 10:04,와 삼쏘하느라 못봣는데,치열했네요.. 다시보기 보러갑니다,[]
42,2021.10.30. 23:51,T1 vs 담원 3세트 역대급이네요,"경기 운영부터,
라이즈 공간활용,
진의 명품 사격,
질리언의 유틸성 등등 와...
이렇게 긴장감 넘치고 재미있는 경기 정말 오랜만이었습니다!!
현재 스코어 2:1","[['그리고 고대로 2연패ㅋㅋㅋㅋㅋ아ㅋㅋㅋㅋㅋ'], ['그러게요 ㅋㅋ']]"
43,2021.10.30. 17:37,다들 치킨 시키셨나요?,사실상 결승전같은데 승자 어느쪽으로 예측하고 계시나요?!,[]
44,2021.10.30. 14:33,기대되는 오늘의 매치 : 토트넘 vs 맨유,,[]
45,2021.10.30. 00:22,주말이네여!,"다들 주말 잘보내세요!
데이트도 하시고 바깥공기도 많이 마시시고..
저는 출근해서 열심히 총알모으겠습니다..!","[['주말 끌끌,,'], ['즐주되십쇼!'], ['드디어~'], ['기다리던 주말!'], ['복실복실한 옷이 요즘 많이 보이군여'], ['겨울이니 확실히 보온성을챙겨야쥬ㅎㅎ'], ['오 헤어리한 느낌이 포인트로 좋아보입니다!'], ['엘무드가 참 잘 뽑는거같아요!']]"
