date,corona,capsule,machine,homecafe
2018-08-25,0.00931,12.56242,19.98488,25.19721
2018-08-26,0.00994,14.21436,23.73602,31.97215
2018-08-27,0.00882,14.59854,33.3983,28.16705
2018-08-28,0.00915,15.59738,33.2193,22.22737
2018-08-29,0.00876,13.90703,29.98528,21.80974
2018-08-30,0.00854,14.94429,26.44098,22.41299
2018-08-31,0.00923,13.94544,25.39878,19.58236
2018-09-01,0.00935,11.52516,22.02553,15.59164
2018-09-02,0.00752,13.36918,25.95568,18.42227
2018-09-03,0.00929,15.4053,31.11897,18.7935
2018-09-04,0.00972,14.2912,28.89931,18.65429
2018-09-05,0.00821,15.52055,26.77115,18.28306
2018-09-06,0.01012,15.90472,25.82441,18.37587
2018-09-07,0.01059,15.36688,23.6326,15.87006
2018-09-08,0.00968,12.48559,21.67548,16.98375
2018-09-09,0.00947,14.17595,24.9811,18.93271
2018-09-10,0.01206,14.90587,28.64075,20.18561
2018-09-11,0.01021,17.21091,29.27721,16.38051
2018-09-12,0.01063,17.97925,27.74573,13.73549
2018-09-13,0.00898,15.52055,26.93424,16.51972
2018-09-14,0.00986,16.28889,29.5318,16.89095
2018-09-15,0.00917,13.98386,23.90707,14.89559
2018-09-16,0.00896,17.24932,26.48474,18.28306
2018-09-17,0.00876,18.17134,33.22725,17.03016
2018-09-18,0.00911,15.29004,27.65424,19.21113
2018-09-19,0.00868,15.36688,24.36055,15.54524
2018-09-20,0.00929,13.56127,23.48144,16.14849
2018-09-21,0.0097,12.02458,20.25935,15.54524
2018-09-22,0.00762,13.10026,17.10887,12.71461
2018-09-23,0.00733,11.90933,15.75241,11.83294
2018-09-24,0.00792,12.75451,16.21782,12.99303
2018-09-25,0.00801,14.86746,20.55372,14.89559
2018-09-26,0.00839,20.70687,26.12275,17.63341
2018-09-27,0.00962,18.86285,31.17864,17.63341
2018-09-28,0.00847,15.71263,28.62484,15.96287
2018-09-29,0.00921,14.36803,25.61358,18.00464
2018-09-30,0.00896,16.44256,27.3201,18.32946
2018-10-01,0.00856,17.59508,33.64493,14.80278
2018-10-02,0.00892,16.59623,29.38064,16.3341
2018-10-03,0.00886,14.59854,25.35104,15.40603
2018-10-04,0.00949,17.44141,34.8741,15.96287
2018-10-05,0.00939,19.05493,32.193,15.82366
