날짜,코로나,홈까페,커피머신
2020-05-12,18.01789,30.15873,38.46729
2020-05-13,17.49295,33.33333,36.94839
2020-05-14,15.02557,26.98412,33.69196
2020-05-15,11.52668,34.39153,36.1199
2020-05-16,8.25555,28.57142,38.98509
2020-05-17,7.3702,42.32804,43.53604
2020-05-18,9.07283,41.26984,40.95276
2020-05-19,8.56261,33.33333,40.50399
2020-05-20,10.67422,25.92592,36.41907
2020-05-21,9.64842,30.68783,36.30401
2020-05-22,8.76113,27.51322,34.66428
2020-05-23,6.9601,28.04232,33.14538
2020-05-24,6.50091,23.80952,42.29906
2020-05-25,8.10028,40.21164,36.64346
2020-05-26,7.86186,34.92063,35.82072
2020-05-27,11.37675,31.74603,34.47442
2020-05-28,17.47161,17.98941,34.41689
2020-05-29,13.77112,22.75132,29.17553
2020-05-30,8.76378,29.10052,30.28594
2020-05-31,8.14468,25.39682,38.73194
2020-06-01,9.33992,25.92592,35.70565
2020-06-02,8.3146,34.39153,35.57332
2020-06-03,8.39629,22.75132,35.78044
2020-06-04,7.68979,32.27513,34.31333
2020-06-05,7.31411,20.10582,29.90621
2020-06-06,6.76767,26.98412,29.81991
2020-06-07,7.19161,41.79894,34.71606
2020-06-08,8.82113,21.16402,33.08785
2020-06-09,8.56045,33.86243,31.18347
2020-06-10,7.48552,30.15873,31.41361
2020-06-11,7.4213,19.57671,30.84402
2020-06-12,8.22537,25.39682,27.92129
2020-06-13,5.86766,22.75132,28.73252
2020-06-14,5.63604,39.68253,34.41113
2020-06-15,7.65806,25.92592,32.46648
2020-06-16,6.82953,14.28571,31.38484
2020-06-17,6.87578,25.39682,30.41251
2020-06-18,6.60712,38.09523,31.93141
2020-06-19,6.33553,21.69312,27.08129
2020-06-20,6.1597,20.63492,28.39882
2020-06-21,6.05281,46.56084,34.92894
2020-06-22,7.5998,20.63492,28.4506
2020-06-23,7.43522,18.51851,27.06978
2020-06-24,6.23368,22.75132,28.35855
2020-06-25,6.01975,20.63492,28.65197
2020-06-26,5.89177,23.80952,27.20211
2020-06-27,5.40175,17.98941,26.94321
2020-06-28,5.97626,28.04232,32.59881
2020-06-29,7.13061,12.16931,29.70485
2020-06-30,5.73981,14.81481,29.19855
